Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50001130;FRIENDS PD REGULAR S/P (24X20UN);1001;3000;PAK;449,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001133;FRIENDS PD MANZANILLA (24X20UN);1001;3000;PAK;235,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001134;FRIENDS PD REGULAR S/P PROMO (12X60UN);1001;3000;PAK;733,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001136;LADYFACE DISCOS DE ALG (8x80UN)PROMO3x2;1001;3000;CS;140,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Lady Face;PH-Cotton Round;Cuidado Personal
50001137;LADY FACE DISCOS DE ALGODON (24x80UN);1001;3000;CS;164,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Lady Face;PH-Cotton Round;Cuidado Personal
50001139;CHICCO PAÑAL DE NIÑO XXG REG (8X20UN);1001;3000;PAK;2294,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes
50001169;FRIENDS PD LONG (24X20UN);1001;3000;PAK;107,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001187;CHICCO BS JABON LIQUIDO(10x450ML);1001;3000;CS;241,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal
50001189;CHICCO BS JABON LIQUIDO(10x220ML);1000;3003;CS;979,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal
50001189;CHICCO BS JABON LIQUIDO(10x220ML);1001;3000;CS;111,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal
52000048;INTYLACT TH INTIMA ARANDANO (32x20UN);1000;3000;CS;450,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack;Cuidado Personal
52000069;BOROCANFOR ORIGINAL POLVO 60G (VITA);1000;3003;CS;398,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Marca Privada;PH-Talco;Cuidado Personal
52000070;BOROCANFOR ORIGINAL POLVO 120 G (VITA);1000;3000;CS;174,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Marca Privada;PH-Talco;Cuidado Personal
