Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50000965;CHICCO BS LOCION (10x200ML);1001;3000;CS;80,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal
50000969;CHICCO BS TALCO (24x200G);1001;3000;CS;507,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal
50000969;CHICCO BS TALCO (24x200G);1000;3000;CS;0,00;0,000;1,333;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal
50000970;CHICCO BS COLONIA (10x220ML);1000;3000;CS;4,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal
50000970;CHICCO BS COLONIA (10x220ML);1001;3000;CS;3456,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal
50000971;CHICCO BS ACEITE (10x220ML);1001;3000;CS;552,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal
50000974;CHICCO BS TH ORIGINAL (24x72UN);1000;3000;CS;1823,00;0,000;1,250;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal
50000974;CHICCO BS TH ORIGINAL (24x72UN);1001;3000;CS;1253,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal
50000975;CHICCO BS TH ORIGINAL (20x48UN);1000;3000;CS;2122,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3000;CS;1220,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3003;CS;250,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal
50000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);1001;3000;PAK;3363,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Siempre Seco;PH-Protector de Cama;Absorbentes
50000986;CHICCO BS CHAMPU CABELLOOSCURO(10x200ML);1001;3000;CS;402,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50000990;CHICCO PAÑAL DE NIÑO M REG (8X20UN);1001;3000;PAK;2058,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes
50000992;CHICCO PAÑAL DE NIÑO G REG (8X20UN);1001;3000;PAK;1079,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes
50000993;CHICCO PAÑAL DE NIÑO XG REG (8X20UN);1001;3000;PAK;1564,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes
50001002;CHICCO BS CREMA PROTECTORA (16x80G);1001;3000;CS;136,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Crema Protectoras;Cuidado Personal
50001005;AMY SEC TH MANZANILLA P/BEBES (24x72UN);1000;3000;CS;666,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal
50001005;AMY SEC TH MANZANILLA P/BEBES (24x72UN);1000;3003;CS;210,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal
50001005;AMY SEC TH MANZANILLA P/BEBES (24x72UN);1001;3000;CS;1303,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal
50001006;CHICCO BS ACEITE CREMOSO (10x200ML);1001;3000;CS;59,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal
50001009;CHICCO BS CHAMPU CABELLOOSCURO(28x100ML);1001;3000;CS;72,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001011;CHICCO BS COLONIA (28x100ML);1001;3000;CS;1786,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal
50001011;CHICCO BS COLONIA (28x100ML);1001;3003;CS;10,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal
50001012;CHICCO BS ACEITE (28x100ML);1000;3000;CS;0,00;0,000;0,107;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal
50001012;CHICCO BS ACEITE (28x100ML);1001;3000;CS;247,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal
50001015;CHICCO BS CHAMPU CABELLO CLARO(28x100ML);1001;3000;CS;344,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001016;CHICCO BS CHAMPU CABELLONORMAL(28x100ML);1001;3000;CS;132,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001019;CHICCO BS GEL ANTIBACTERIAL (28x100ML);1000;3000;CS;0,93;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal
50001019;CHICCO BS GEL ANTIBACTERIAL (28x100ML);1001;3000;CS;368,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal
50001020;CHICCO BS LOCION (28x100ML);1001;3000;CS;200,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal
50001021;SECUREZZA POST PARTO (12X15UN);1001;3000;PAK;4940,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes
50001023;CHICCO BS COTONCITO (32x100UN);1001;3000;CS;531,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal
50001024;CHICCO BS COTONCITO (48x60UN);1000;3003;CS;0,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal
50001024;CHICCO BS COTONCITO (48x60UN);1001;3000;CS;734,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal
50001025;CHICCO BS MOTAS DE ALGODON (12x100UN);1000;3000;CS;0,00;0,000;0,333;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal
50001025;CHICCO BS MOTAS DE ALGODON (12x100UN);1001;3000;CS;420,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal
50001026;BASTONCITO PARA HISOPOS (NACIONAL PH);1000;3000;CS;50,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Pharsana;PH-Hisopos;Cuidado Personal
50001039;CHICCO BS JABON EN BARRA P/NIÑOS(30x90);1001;3000;CS;229,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Jabon en barra;Cuidado Personal
50001045;CHICCO BS TALCO (24x100G);1000;3000;CS;0,00;0,000;0,458;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal
50001045;CHICCO BS TALCO (24x100G);1001;3000;CS;555,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal
50001046;CHICCO BS ACEITE CREMOSO (28x100ML);1001;3000;CS;137,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal
50001047;SECUREZZA CLASSIC M (4X20UN) PROMOPACK;1001;3000;PAK;293,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50001048;SECUREZZA CLASSIC L (4X20UN) PROMOPACK;1001;3000;PAK;670,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50001049;SECUREZZA COMFORT M (4X20UN) PROMOPACK;1001;3000;PAK;397,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50001050;SECUREZZA COMFORT L (4X20UN) PROMOPACK;1001;3000;PAK;352,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50001051;CHICCO BS COTONCITO(12x300UN PAGA 200UN);1001;3000;CS;163,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal
