Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000976;CHICCO TH ORIGINAL 24UN;1000;3000;CS;0,00;0,00;0,000;0,00;0,850;459,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000981;SIEMPRE SECO PROTECTOR DE CAMA HB (4X20);1001;3000;PAK;171,00;98755,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Siempre Seco;PH-Protector de Cama;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000986;CHICCO CHAMPU ROMERO 200 ML;1001;3000;CS;408,00;239944,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000990;CHICCO PAÑAL DE NIÑO M REG (8X20);1001;3000;PAK;88,00;66654,72;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000992;CHICCO PAÑAL DE NIÑO G REG (8X20);1001;3000;PAK;35,00;28238,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000993;CHICCO PAÑAL DE NIÑO XG REG (8X20);1001;3000;PAK;163,00;135629,04;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001002;CHICCO CREMA PROTECTORA 80G;1001;3000;CS;250,00;197440,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Crema Protectoras;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001005;AMY SEC TH MANZANILLA 72P (24);1000;3000;CS;30,00;19116,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001005;AMY SEC TH MANZANILLA 72P (24);1001;3000;CS;452,00;288014,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001006;CHICCO ACEITE CREMOSO 200 ML;1001;3000;CS;824,00;458720,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001009;CHICCO CHAMPU ROMERO 100 ML;1000;3000;CS;0,00;0,00;0,000;0,00;0,786;640,42;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
