Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11003076;TELA N/T  FOBICO BLANCO 190MM 15GR(SMMS);1002;2000;M2;7446,67;33417,52;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003079;ELASTIC WAIST BAND NIÑO 120 MM 55GSM;1002;2000;M;0,00;0,01;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003087;CAJA TIPO 29;1000;1000;ST;7970,00;4065440,27;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003087;CAJA TIPO 29;1000;2000;ST;858,00;437659,69;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1000-Pharsana Valencia
11003087;CAJA TIPO 29;1001;2003;ST;100,00;38699,51;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2003-Semiterminados;1001-Pharsana Maracay
11003088;BILAMINADO P/TH CHICCO 72;1000;1000;KG;1552,22;1765754,94;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003090;SUPER ABSORBENTE PARA PRUEBA;1002;2002;KG;80,00;1978,41;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2002-Rechazado;1002-Pharsana Higienico
11003092;ETIQUETA CHICCO CREMA PROTECTORA 80G;1000;1000;ST;6558,00;66364,28;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003093;ETIQUETAS RESELLABLES P/WIPES (72x40);1000;1000;ST;95000,00;658191,75;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003093;ETIQUETAS RESELLABLES P/WIPES (72x40);1000;1007;ST;2596,00;17985,96;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1007-Rechazado;1000-Pharsana Valencia
11003093;ETIQUETAS RESELLABLES P/WIPES (72x40);1000;2000;ST;41422,00;286985,46;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1000-Pharsana Valencia
11003094;ETIQUETA CHICCO FRONTAL DE TALCO 200 G;1000;1000;ST;16500,00;298485,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003097;ETIQUETA CHICCO DORSAL DE TALCO 200 G;1000;1000;ST;17075,00;290697,57;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
