Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;TextAlm;TextCent
51000132;ACTIVA P.D.PERDIDAS OCASIONALES(12X40UN);1001;3005;CS;21,00;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES FEMENINA;Activa;PH-Toalla Incontinen;3005-Predespacho Val;1001-Pharsana Maracay
51000132;ACTIVA P.D.PERDIDAS OCASIONALES(12X40UN);1002;3001;CS;0,08;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES FEMENINA;Activa;PH-Toalla Incontinen;3001-Muestras Gemelas;1002-Pharsana Higienico
51000028;FRIENDS PD MANZANILLA (12x40UN) EXP;1001;3005;PAK;141,00;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;3005-Predespacho Val;1001-Pharsana Maracay
51000028;FRIENDS PD MANZANILLA (12x40UN) EXP;1002;2000;PAK;0,00;65,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;2000-Producción;1002-Pharsana Higienico
51000028;FRIENDS PD MANZANILLA (12x40UN) EXP;1002;3001;PAK;0,17;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;3001-Muestras Gemelas;1002-Pharsana Higienico
51000120;SECUREZZA POST PARTO PREMIUM(12X10UN)EXP;1001;3005;PAK;96,00;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector de Cama;3005-Predespacho Val;1001-Pharsana Maracay
51000120;SECUREZZA POST PARTO PREMIUM(12X10UN)EXP;1002;3001;PAK;0,42;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector de Cama;3001-Muestras Gemelas;1002-Pharsana Higienico
51000137;SECUREZZA BC TH CORPORALES (12x54UN)EXP;1000;3001;CS;0,58;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Securezza;PH-Jabón Líquido;3001-Muestras Gemelas;1000-Pharsana Valencia
51000141;AMY ACEITE PARA BEBES (10x220ML) EXP;1000;3001;CS;0,40;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Amy;PH-Aceite;3001-Muestras Gemelas;1000-Pharsana Valencia
51000158;AMY SEC TH MANZ P/BEBES (24x72UN) EXP;1000;3001;CS;0,21;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
51000163;AMY SEC TH 99% AGUA (20x48UN) EXP;1000;3001;CS;0,20;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
50000912;CHICCO VASELINA 80G;1000;3001;CS;1,38;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Vaselina;3001-Muestras Gemelas;1000-Pharsana Valencia
50000912;CHICCO VASELINA 80G;1001;3002;CS;0,00;0,000;7,500;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Vaselina;3002-PT Reserva;1001-Pharsana Maracay
50000912;CHICCO VASELINA 80G;1001;3018;CS;5,88;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Vaselina;3018-Rechazado;1001-Pharsana Maracay
50000914;CHICCO TH ORIGINAL 48P (20);1000;3001;CS;2,95;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
50000914;CHICCO TH ORIGINAL 48P (20);1001;3004;CS;1,80;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3004-Devoluciones;1001-Pharsana Maracay
50000914;CHICCO TH ORIGINAL 48P (20);1001;3018;CS;17,50;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3018-Rechazado;1001-Pharsana Maracay
51000151;SECUREZZA CLASSIC M REG (6x6UN) EXP;1002;3001;PAK;0,33;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Pañal Tier 1;3001-Muestras Gemelas;1002-Pharsana Higienico
51000152;SECUREZZA CLASSIC L REG (6X6UN) EXP;1001;3005;PAK;2,00;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Pañal Tier 1;3005-Predespacho Val;1001-Pharsana Maracay
51000152;SECUREZZA CLASSIC L REG (6X6UN) EXP;1002;3001;PAK;0,33;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Pañal Tier 1;3001-Muestras Gemelas;1002-Pharsana Higienico
51000156;SECUREZZA COMFORT M LLEVA 20/16 (4x20UN);1002;3001;PAK;2,50;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector de Cama;3001-Muestras Gemelas;1002-Pharsana Higienico
51000157;SECUREZZA COMFORT L LLEVA 20/16 (4x20UN);1002;3001;PAK;3,00;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector de Cama;3001-Muestras Gemelas;1002-Pharsana Higienico
51000172;LADY FACE DISCOS DE ALGODON (24x80UN)EXP;1000;3001;CS;0,08;0,000;0,000;20.02.2026 - 22:03:39;ALGODONES PT;Lady Face;PH-Cotton Round;3001-Muestras Gemelas;1000-Pharsana Valencia
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1000;3001;CS;8,90;1,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3001-Muestras Gemelas;1000-Pharsana Valencia
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1000;3017;CS;1,80;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3017-MG Microbilogia;1000-Pharsana Valencia
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1001;3000;CS;968,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3000-ProdTerminado WM;1001-Pharsana Maracay
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1001;3002;CS;2,00;0,000;13,200;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3002-PT Reserva;1001-Pharsana Maracay
50000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);1001;3018;CS;4,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3018-Rechazado;1001-Pharsana Maracay
