Codigo_Mat;Denominacion Material;Fecha;UM;Cant_Notif;UM2;Cant_Notif2;Sector;Reproceso;Fecha-Hora
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);07.02.2026;PZA;252000,000;TO;0,780;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;07.02.2026;PZA;13600,000;TO;0,340;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);07.02.2026;PZA;202800,000;TO;8,903;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;07.02.2026;PZA;133416,000;TO;5,076;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;07.02.2026;PZA;175824,000;TO;2,912;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;07.02.2026;PZA;95760,000;TO;4,980;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);08.02.2026;PZA;14400,000;TO;0,632;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;08.02.2026;PZA;329616,000;TO;12,542;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;08.02.2026;PZA;415584,000;TO;6,882;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);08.02.2026;PZA;252000,000;TO;0,780;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;08.02.2026;PZA;56700,000;TO;2,949;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;09.02.2026;PZA;196200,000;TO;7,466;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;09.02.2026;PZA;431568,000;TO;7,147;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);09.02.2026;PZA;336000,000;TO;1,041;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;09.02.2026;PZA;98280,000;TO;5,111;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;09.02.2026;PZA;54400,000;TO;1,360;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);09.02.2026;PZA;129600,000;TO;5,690;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);10.02.2026;PZA;276500,000;TO;0,857;INYECCION TAPAS;REPROCESO;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;10.02.2026;PZA;108800,000;TO;2,720;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);10.02.2026;PZA;129600,000;TO;5,690;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;10.02.2026;PZA;32760,000;TO;1,704;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;10.02.2026;PZA;159840,000;TO;2,647;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);10.02.2026;PZA;52500,000;TO;0,163;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000402;TAPA PCO 28MM 1810 DORADA 3,1 G (3.500);11.02.2026;PZA;84000,000;TO;0,260;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000837;PREFORMAS 16,56GR CR-8828F MAQ SOFT DRI;11.02.2026;PZA;38500,000;TO;0,638;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;11.02.2026;PZA;108800,000;TO;2,720;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);11.02.2026;PZA;82800,000;TO;3,635;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;12.02.2026;PZA;108800,000;TO;2,720;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);12.02.2026;PZA;184800,000;TO;8,113;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;13.02.2026;PZA;68000,000;TO;1,700;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);13.02.2026;PZA;83344,000;TO;3,659;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;14.02.2026;PZA;95200,000;TO;2,380;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;14.02.2026;PZA;15171,000;TO;0,789;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;15.02.2026;PZA;121368,000;TO;6,312;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
