Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50001002;CHICCO CREMA PROTECTORA 80G;1001;3000;CS;250,00;190473,73;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Crema Protectoras;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001005;AMY SEC TH MANZANILLA 72P (24);1000;3000;CS;30,00;16994,47;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001005;AMY SEC TH MANZANILLA 72P (24);1001;3000;CS;452,00;334214,84;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001006;CHICCO ACEITE CREMOSO 200 ML;1001;3000;CS;824,00;398305,55;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001009;CHICCO CHAMPU ROMERO 100 ML;1000;3000;CS;0,00;0,00;0,000;0,00;0,786;644,68;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001009;CHICCO CHAMPU ROMERO 100 ML;1001;3000;CS;228,00;212549,53;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001011;CHICCO COLONIA 100ML;1000;3000;CS;108,00;104074,23;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001011;CHICCO COLONIA 100ML;1001;3000;CS;705,00;618437,73;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001012;CHICCO ACEITE PARA NIÑOS 100ML;1001;3000;CS;124,00;120736,13;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001015;CHICCO CHAMPU MANZANILLA 100ML;1001;3000;CS;407,00;384076,56;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001016;CHICCO CHAMPU ORIGINAL 100ML;1000;3000;CS;140,00;103401,79;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001016;CHICCO CHAMPU ORIGINAL 100ML;1001;3000;CS;372,00;270621,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001019;CHICCO GEL ANTIBACTERIAL 100 ML;1000;3000;CS;0,00;0,00;0,000;0,00;1,357;911,41;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001019;CHICCO GEL ANTIBACTERIAL 100 ML;1001;3000;CS;482,00;391202,28;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001020;CHICCO LOCION 100 ML;1001;3000;CS;503,00;355844,37;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001021;SECUREZZA POST PARTO  (12X15);1001;3000;PAK;464,00;193377,58;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001023;CHICCO BS COTONCITO (32x100UN)x2;1001;3000;CS;11,00;6288,63;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
