Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector;TextAlm;TextCent
70000500;Envase ADEREZOS 200ml (17,82Gr) Ecomm;1300;3009;PZA;1728,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Cilindrica;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000504;CILINDRICO PCO 28MM 200ml (17,82Gr)Ecomm;1300;3009;PZA;700,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Cilindrica;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000505;CILINDRICO PCO 28mm 400ml (23,00Gr)Ecomm;1300;3009;PZA;392,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Cilindrica;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000506;ENVASE MULTIUSOS 500ml  (17.82Gr)Ecomm;1300;3009;PZA;1824,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Cilindrica;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000525;BOTELLAS LICOR 0,350 L (48 Und) Ecomm;1300;3009;PAL;0,86;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Licores;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000528;BOTELLAS LICOR 1,750 L (24 Und) Ecomm;1300;3009;PZA;600,00;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Licores;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000529;BOTELLAS TRANSP AGUA 1,5L (48 Und) Ecomm;1300;3009;PZA;1434,00;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Licores;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000541;ENVASE BEBIDAS 1000ml  (34gr) Ecomm;1300;3009;PZA;168,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Jugos;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000543;ENVASE LIMPIEZA 500ml  (25g) Ecomm;1300;3009;PZA;1968,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Tapa Especie;AM-Tapas Ampofrasca;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000551;ENV.PET BCO COSMETIC OVAL 100 ML(Ecomm);1300;3009;PZA;117,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Oval;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000552;ENV.PET TRA COSMETIC 200ML SENSITIVE(Eco;1300;3009;PZA;2039,00;144,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Sensitive;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000555;ENVASE PET TRANSP GARRAFA 3L  18Und(Ecom;1300;3009;PZA;36,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Garrafa;AM-Garrafa;Botellas;3009-E-Commerce;1300-Proyectos PET
70000556;TAPAS AGUA TRANSPARENTE 3L 18 Und(Ecomm);1300;3009;PZA;236,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Para Garrafa;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000557;ENV GEL PACK BLANCO TAPA TRANSP 30Un(Eco;1300;3009;PZA;90,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Ambar S/Impresión;AM-Env. Plásticos;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000562;TAPA PCO 28MM 1810 BLANCA ECOMMERCE;1300;3009;PZA;2850,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000563;TAPA PCO 28MM 1810 NATURAL ECOMMERCE;1300;3009;PZA;4350,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000565;TAPA PCO 28MM 1881 NATURAL 2,45G (3.500);1300;3000;CS;239,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000569;ENV.PET TRANSP COSMETIC OVAL 400 ML(Ecom;1300;3009;PZA;2000,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Oval;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000571;TAPA PLAST 24MM ROSCA SALSA/GOTERO;1300;3009;PZA;11100,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Push & Pull;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000575;TAPA PLAST 28MM PUSH PULL FL BCO/BCO;1300;3009;PZA;50,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000598;ATOMIZADOR TIPO GATILLO 28mm Ecomm(48);1300;3009;PZA;2880,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Jugos;PP-Tap. Long Finish;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000602;TAPA PUSH&PULL VERDE  (ECOMM);1300;3009;PZA;1050,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Push & Pull;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000605;TAPA PUSH&PULL NARANJA (Ecomm);1300;3009;PZA;2450,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Push & Pull;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000616;BOTELLAS CARBONATADA 1500ML(34,00G);1300;3000;PAL;67,00;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Agua;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000631;ENVASE GEL PACK BLANCO TAPA BLANCA ECOMM;1300;3009;PZA;600,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Tarro Gel Pack;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000651;PREFORMAS TRANSPARENTE 23,00 G CESTA;1300;2000;PZA;24448,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000651;PREFORMAS TRANSPARENTE 23,00 G CESTA;1300;3000;PZA;193516,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000653;PREFORMAS TRANSPARENTE 20,79 G (PCO1881);1300;3000;PZA;95924,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000664;BOTELLAS  AGUA 0,500L (23Gramos);1300;3000;PAL;4,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Licores;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
