Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,FRIENDS PD REGULAR S/P (12X40),1,PAK,12,PAQ,"33,72","33,72","5,4","39,12",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Friends,40,Regular,KG,1200,,1200,Perfumeria,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"33,72","33,72","5,4","39,12",,50001106,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Cuidado Personal,Venta Directa,20250530,Zona Centro,3000,AMY COLONIA 220CC OVAL,1,CS,10,ST,"43,1","43,1","6,9",50,Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Amy,220,Original,KG,2,,2,Perfumeria,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"43,1","43,1","6,9",50,,50000902,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082
"FAMALARA, C.A.",Detal,Fact. Nac. Pharsana,6000124594,Absorbentes,Venta Directa,20250527,Zona Centro,3000,SECUREZZA POST PARTO  (12X15),2,PAK,24,PAQ,"30,72","61,44","9,83","71,27",Factura,Crédito 15 Días,20250611,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0607882,1002056920,Securezza,15,Anatómica,KG,4200,,4200,Farmacia,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"30,72","61,44","9,83","71,27",,50001021,Detal,,10000025,30,1,X,02.07.2025 - 08:40:06,,,100082
"FAMALARA, C.A.",Detal,Fact. Nac. Pharsana,6000124594,Cuidado Personal,Venta Directa,20250527,Zona Centro,3000,CHICCO TH ORIGINAL 24P (TRAVEL),1,CS,48,PAQ,"46,56","46,56","7,45","54,01",Factura,Crédito 15 Días,20250611,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0607882,1002056920,Chicco,24,Original,KG,"7,392",,"7,392",Farmacia,PH-TH Travel Pack,TOALLAS HUMEDAS,0,5,2025,"46,56","46,56","7,45","54,01",,50001084,Detal,,10000025,30,1,X,02.07.2025 - 08:40:06,,,100082
"FAMALARA, C.A.",Detal,Fact. Nac. Pharsana,6000124594,Absorbentes,Venta Directa,20250527,Zona Centro,3000,SECUREZZA POST PARTO PREMIUM (12X10),1,PAK,12,PAQ,"25,44","25,44","4,07","29,51",Factura,Crédito 15 Días,20250611,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0607882,1002056920,Securezza,10,Anatómica,KG,2100,,2100,Farmacia,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"25,44","25,44","4,07","29,51",,50000632,Detal,,10000025,30,1,X,02.07.2025 - 08:40:06,,,100082
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO TH ORIGINAL 72P,2,CS,48,PAQ,"50,88","101,76","16,28","118,04",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Chicco,72,Original,KG,"19,104",,"19,104",Supermercado,PH-TH Flow Pack,TOALLAS HUMEDAS,0,5,2025,"50,88","101,76","16,28","118,04",,50000974,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO COLONIA 100ML,3,CS,84,ST,"62,44","187,32","29,96","217,28",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Chicco,100,Original,KG,"7,392",,"7,392",Supermercado,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"62,44","187,32","29,96","217,28",,50001011,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO COLONIA 220 ML,3,CS,30,ST,"40,7","122,1","19,54","141,64",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Chicco,220,Original,KG,"5,94",,"5,94",Supermercado,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"40,7","122,1","19,54","141,64",,50000970,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO TALCO 100G,1,CS,24,ST,"60,24","60,24","9,64","69,88",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Chicco,100,Original,KG,"2,434",,"2,434",Supermercado,PH-Talco,HIGIENE PERSONAL,0,5,2025,"60,24","60,24","9,64","69,88",,50001045,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,AMY COLONIA 220CC OVAL,1,CS,10,ST,"32,1","32,1","5,14","37,24",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Amy,220,Original,KG,2,,2,Supermercado,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"32,1","32,1","5,14","37,24",,50000902,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123355,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO TH ORIGINAL 24P (TRAVEL),2,CS,96,PAQ,"41,28","82,56","13,21","95,77",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606398,1002056402,Chicco,24,Original,KG,"14,784",,"14,784",Supermercado,PH-TH Travel Pack,TOALLAS HUMEDAS,0,5,2025,"41,28","82,56","13,21","95,77",,50001084,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123357,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO LOCION 100 ML,1,CS,28,ST,"54,88","54,88","8,78","63,66",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606400,1002056404,Chicco,100,Original,KG,"2,783",,"2,783",Supermercado,PH-Loción,HIGIENE PERSONAL,0,5,2025,"54,88","54,88","8,78","63,66",,50001020,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123357,Cuidado Personal,Venta Directa,20250512,Zona Oriente,3000,CHICCO ACEITE PARA NIÑOS 100ML,1,CS,28,ST,"77,84","77,84","12,47","90,31",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606400,1002056404,Chicco,100,Original,KG,"2,772",,"2,772",Supermercado,PH-Aceite,HIGIENE PERSONAL,0,5,2025,"77,84","77,84","12,47","90,31",,50001012,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123357,Absorbentes,Venta Directa,20250512,Zona Oriente,3000,SECUREZZA POST PARTO PREMIUM (12X10),2,PAK,24,PAQ,"22,56","45,12","7,22","52,34",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606400,1002056404,Securezza,10,Anatómica,KG,4200,,4200,Supermercado,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"22,56","45,12","7,22","52,34",,50000632,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123357,Absorbentes,Venta Directa,20250512,Zona Oriente,3000,FRIENDS PD LONG (24X20),1,PAK,24,PAQ,"24,96","24,96","3,99","28,95",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606400,1002056404,Friends,20,Perfumado,KG,864,,864,Supermercado,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"24,96","24,96","3,99","28,95",,50001169,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
"COMERCIAL GRAN ORIENTAL, COMPAÑIA",Cadenas,Fact. Nac. Pharsana,6000123357,Absorbentes,Venta Directa,20250512,Zona Oriente,3000,FRIENDS PD REGULAR S/P (24X20),1,PAK,24,PAQ,"24,96","24,96","3,99","28,95",Factura,Crédito 07 Días,20250519,USD,NA,,GV Ger. Reg. Oriente,OSKARINA DEL C. VILLARRUEL,00-0606400,1002056404,Friends,20,Regular,KG,864,,864,Supermercado,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"24,96","24,96","3,99","28,95",,50001130,Cadenas,,10000027,10,1,X,02.07.2025 - 08:40:06,,,100080
