Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11001739;PINTURA AMPOLLAS VERDE  V-2804;1200;1000;KG;75,52;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001740;PINTURA ROJO RUBI V-28213 (RUBY RED);1200;1000;KG;27,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001741;PLASTICO TERMOENCONGIBLE FRASCOS;1200;1000;KG;176,73;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001742;POLICARBONATO INYE SOPLO 124 R-111 LEXAN;1200;1000;KG;700,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001743;POLICARBONATO INYECCION SOPLADO (BIBERON;1200;1000;KG;3025,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001750;POLIETILENO BAJA DENSIDAD INYECC 2111;1200;1000;KG;17416,70;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001751;POLIPROPILENO J-440 IMPORT (05C06) 123 M;1200;2000;KG;74,46;5974,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001756;POLIPROPILENO J-440 NACIONAL (05C06);1200;1000;KG;1200,00;406493,76;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001758;(J-700) HOMOPOLIMERO 11H01A IMP ESENTTIA;1200;1000;KG;1448,50;123301,88;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001758;(J-700) HOMOPOLIMERO 11H01A IMP ESENTTIA;1200;1007;KG;50,00;4256,19;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1007-Rechazado;1200-Ampofrasca
11001758;(J-700) HOMOPOLIMERO 11H01A IMP ESENTTIA;1200;2000;KG;191,18;16273,98;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001761;POLIPROPILENO J-750 (INYECCION LIVIANA);1200;1000;KG;25,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001762;POLIPROPILENO J-758 CLARIFICADO (10R10C);1200;1000;KG;0,00;0,00;500,000;550259,41;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001762;POLIPROPILENO J-758 CLARIFICADO (10R10C);1200;1007;KG;306,71;337540,13;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1007-Rechazado;1200-Ampofrasca
11001762;POLIPROPILENO J-758 CLARIFICADO (10R10C);1200;2000;KG;6,38;7021,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001768;REMAFIN-ROJO PE 33610063-ZN (309);1200;1000;KG;123,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001771;RESINA PET T-94;1200;1000;KG;2674,00;737,61;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001773;SILASTIC (R) 9481-50US PART A & B;1200;2000;KG;449,00;1040,52;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001831;VIDRIOS AMBAR 10,25 P:0,50;1200;1000;KG;2225,60;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001832;VIDRIOS AMBAR 10,75 P:0,50;1200;1000;KG;4628,60;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001833;VIDRIOS AMBAR 11,25 P:0,50;1200;1000;KG;4744,62;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001834;VIDRIOS AMBAR 12,75 P:0,50;1200;1000;KG;2745,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001835;VIDRIOS AMBAR 13,25 P:0,50;1200;1000;KG;7744,62;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001836;VIDRIOS AMBAR 15,25 P:0,65;1200;1000;KG;3270,24;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001837;VIDRIOS AMBAR 17,25 P:0,65;1200;1000;KG;2128,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001839;VIDRIOS FRASCO AMBAR 19,50 P:1,15;1200;1000;KG;103,20;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001840;VIDRIOS FRASCO AMBAR 22,50 P:1,15;1200;1000;KG;7408,80;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001841;VIDRIOS FRASCO AMBAR 24,50 P:1,20;1200;1000;KG;3256,20;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001843;VIDRIOS FRASCO TRANSPARENTE 19,50 P:1,15;1200;1000;KG;3344,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001844;VIDRIOS FRASCO TRANSPARENTE 22,50 P:1,15;1200;1000;KG;5379,50;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001845;VIDRIOS FRASCO TRANSPARENTE 24,50 P:1,20;1200;1000;KG;26461,60;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001846;VIDRIOS TRANSPARENTE 10,25 P:0,50;1200;1000;KG;2572,80;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001847;VIDRIOS TRANSPARENTE 10,75 P:0,50;1200;1000;KG;3610,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001848;VIDRIOS TRANSPARENTE 11,25 P:0,50;1200;1000;KG;4694,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001849;VIDRIOS TRANSPARENTE 12,75 P:0,50;1200;1000;KG;12465,20;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001850;VIDRIOS TRANSPARENTE 13,25 P:0,50;1200;1000;KG;4924,80;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001851;VIDRIOS TRANSPARENTE 14,75 P:0,55;1200;1000;KG;4468,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001852;VIDRIOS TRANSPARENTE 15,25 P:0,65;1200;1000;KG;11781,29;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001853;VIDRIOS TRANSPARENTE 17,25 P:0,65;1200;1000;KG;46824,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001855;XIAMETER (R) RBL-9481-50 LSR  A & B;1200;1007;KG;1224,60;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1007-Rechazado;1200-Ampofrasca
11001860;BOLSAS DE POLIETILENO  112*86  50 MICRAS;1200;1000;PZA;4856,00;414809,35;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001895;MASTERBATCH AZULMALTINPOLAR PL53610146ZN;1200;1000;KG;32,46;32,46;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001921;PELICULA POLIETILENO 17 MIC SOPLADO;1200;1000;KG;752,00;877017,29;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001921;PELICULA POLIETILENO 17 MIC SOPLADO;1200;2000;KG;0,53;618,11;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001925;PALETA DE SOPLADO 1,41x 1,11m;1200;2003;PZA;285,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2003-Semiterminados;1200-Ampofrasca
11001926;MARCOS 1,41x1,11m;1200;2003;PZA;72,00;75,60;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2003-Semiterminados;1200-Ampofrasca
11001927;RESINA PET (POLIETILENO TEREFTALATO)1101;1200;2000;KG;340,00;102994,57;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001963;POLIPROPILENO PROPILVEN B-328(NACIONAL);1200;1000;KG;450,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002018;POLIETILENO ALTA DENSI. INYECC 2811IMP.;1200;1000;KG;4991,82;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002164;MASTERBATCH ROJO  FB01019;1200;1000;KG;100,00;797,92;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002164;MASTERBATCH ROJO  FB01019;1200;2000;KG;11,53;92,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002171;POLIETILENO ALTA DENSIDAD 2710;1200;1000;KG;1123,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002471;(J-440) COPOLIMERO 05C06 IMP ESENTTIA;1200;1000;KG;950,00;80749,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002471;(J-440) COPOLIMERO 05C06 IMP ESENTTIA;1200;1007;KG;25,00;2124,98;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1007-Rechazado;1200-Ampofrasca
11002471;(J-440) COPOLIMERO 05C06 IMP ESENTTIA;1200;2000;KG;36,60;3110,97;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002691;CINTA MORROPACK 2” X 110  MTS;1200;1000;PZA;251,00;166375,35;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11002691;CINTA MORROPACK 2” X 110  MTS;1200;2000;PZA;37,00;24525,45;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11002706;BOLSAS PLASTICAS 49+5.5+5.5X74;1200;1000;PZA;2280,00;145283,73;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11002706;BOLSAS PLASTICAS 49+5.5+5.5X74;1200;2000;PZA;659,00;41992,09;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11002725;PREFORMA 43,90 GRS AMPOFRASCA;1200;1000;PZA;5831,00;9038,05;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002744;PREFORMA 17,82 GRS AMPOFRASCA;1200;1000;PZA;119952,00;1189628,95;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
