Soc.;Proveedor;Nombre;Asignacion;Referencia;Clase Doc;Denominación;Nº doc.;Fecha doc.;Cond. Pago;Desc. Pago;D. Venc.;Fecha Venc;Mon.;Imp Mon Lo;Por Vencer;1 -- 30;31 -- 60;61 -- 90;91 -- 9999;Importe;Importe. M;Gr.tes.;Denominación;Ramo;Descr.Ramo;Ref.fact.;Txt.cabec.;Importe Moneda Fuerte;Moneda;Importe MF Fecha Doc
1000;10000043;MOORE DE VENEZUELA, S.;747817;747817;RE;Factura bruto;5100024049;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-405,7600;0,0000;0,0000;0,0000;0,0000;-405,7600;0,0000;-15893,42;A31;K-Suministros;Z046;Suministros;;00-0341088;-388,78;USD;-405,76
1000;10000043;MOORE DE VENEZUELA, S.;747818;747818;RE;Factura bruto;5100024050;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-432,2800;0,0000;0,0000;0,0000;0,0000;-432,2800;0,0000;-16932,21;A31;K-Suministros;Z046;Suministros;;00-0341089;-414,19;USD;-432,28
1000;10000043;MOORE DE VENEZUELA, S.;747819;747819;RE;Factura bruto;5100024051;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-220,3200;0,0000;0,0000;0,0000;0,0000;-220,3200;0,0000;-8629,92;A31;K-Suministros;Z046;Suministros;;00-0341090;-211,10;USD;-220,32
1000;10000043;MOORE DE VENEZUELA, S.;747820;747820;RE;Factura bruto;5100024052;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-201,9600;0,0000;0,0000;0,0000;0,0000;-201,9600;0,0000;-7910,75;A31;K-Suministros;Z046;Suministros;;00-0341091;-193,51;USD;-201,96
1000;10000043;MOORE DE VENEZUELA, S.;747823;747823;RE;Factura bruto;5100024053;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-484,5000;0,0000;0,0000;0,0000;0,0000;-484,5000;0,0000;-18977,82;A31;K-Suministros;Z046;Suministros;;00-0341094;-464,23;USD;-484,50
1000;10000043;MOORE DE VENEZUELA, S.;747825;747825;RE;Factura bruto;5100024054;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-102,5100;0,0000;0,0000;0,0000;0,0000;-102,5100;0,0000;-4015,30;A31;K-Suministros;Z046;Suministros;;00-0341096;-98,21;USD;-102,51
1000;10000043;MOORE DE VENEZUELA, S.;747826;747826;RE;Factura bruto;5100024055;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-102,5100;0,0000;0,0000;0,0000;0,0000;-102,5100;0,0000;-4015,30;A31;K-Suministros;Z046;Suministros;;00-0341097;-98,21;USD;-102,51
1000;10000043;MOORE DE VENEZUELA, S.;747829;747829;RE;Factura bruto;5100024056;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-449,8200;0,0000;0,0000;0,0000;0,0000;-449,8200;0,0000;-17619,41;A31;K-Suministros;Z046;Suministros;;00-0341100;-431,00;USD;-449,82
1000;10000043;MOORE DE VENEZUELA, S.;747830;747830;RE;Factura bruto;5100024057;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-159,1200;0,0000;0,0000;0,0000;0,0000;-159,1200;0,0000;-6232,71;A31;K-Suministros;Z046;Suministros;;00-0341101;-152,46;USD;-159,12
1000;10000043;MOORE DE VENEZUELA, S.;747831;747831;RE;Factura bruto;5100024058;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-174,4200;0,0000;0,0000;0,0000;0,0000;-174,4200;0,0000;-6832,01;A31;K-Suministros;Z046;Suministros;;00-0341102;-167,12;USD;-174,42
1000;10000043;MOORE DE VENEZUELA, S.;747832;747832;RE;Factura bruto;5100024059;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-431,4600;0,0000;0,0000;0,0000;0,0000;-431,4600;0,0000;-16900,24;A31;K-Suministros;Z046;Suministros;;00-0341103;-413,40;USD;-431,46
1000;10000043;MOORE DE VENEZUELA, S.;747835;747835;RE;Factura bruto;5100024060;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-306,0000;0,0000;0,0000;0,0000;0,0000;-306,0000;0,0000;-11985,99;A31;K-Suministros;Z046;Suministros;;00-0341106;-293,20;USD;-306,00
1000;10000043;MOORE DE VENEZUELA, S.;747821;747821;RE;Factura bruto;5100024303;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-656,3700;0,0000;0,0000;0,0000;0,0000;-656,3700;0,0000;-25709,94;A31;K-Suministros;Z046;Suministros;;00-0341092;-564,96;USD;-656,37
1000;10000043;MOORE DE VENEZUELA, S.;747822;747822;RE;Factura bruto;5100024304;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-616,5900;0,0000;0,0000;0,0000;0,0000;-616,5900;0,0000;-24151,77;A31;K-Suministros;Z046;Suministros;;00-0341093;-530,72;USD;-616,59
1000;10000046;PAPELERIA LA ESFERA, C;53523;53523;RE;Factura bruto;5100024278;14.11.2024;NT30;Crédito 30 Días;  436;14.12.2024;VED;-201,2500;0,0000;0,0000;0,0000;0,0000;-201,2500;0,0000;-9066,93;A40;K-Papelería y Consumibles;Z046;Suministros;;00-0055234;-199,24;USD;-201,25
1000;10000051;ROMEDA CHEMICAL, C.A.;;;SA;Documento cta.mayor;0100257196;01.10.2024;NT30;Crédito 30 Días;  480;31.10.2024;VED;-190,4900;0,0000;0,0000;0,0000;0,0000;-190,4900;0,0000;-7033,48;A15;K-Materia Prima Nacional;Z053;Materia Prima;;;-183,10;USD;-190,49
1000;10000072;ASOCIACION PROFESIONAL;020271;020271;KR;Factura acreedor;1900019785;05.11.2024;NT30;Crédito 30 Días;  445;05.12.2024;VED;-189,9700;0,0000;0,0000;0,0000;0,0000;-189,9700;0,0000;-8141,50;A43;K-Cuotas y Suscripciones;Z010;Asociaciones;;00-011171;-184,25;USD;-189,97
1000;10000081;SUMINISTROS INDUSTRIAL;4900007223;;ZT;Cart.Transf.Proveed.;0700022037;14.11.2024;;;0;14.11.2024;VED;470,0800;470,0800;0,0000;0,0000;0,0000;0,0000;0,0000;21178,51;A31;K-Suministros;Z041;Repuestos;;20241114-SF648;470,08;USD;470,08
1000;10000081;SUMINISTROS INDUSTRIAL;0024485;0024485;RE;Factura bruto;5100023952;10.10.2024;NT07;Crédito 07 Días;  494;17.10.2024;VED;-166,4000;0,0000;0,0000;0,0000;0,0000;-166,4000;0,0000;-6244,91;A31;K-Suministros;Z041;Repuestos;;00-026699;-160,08;USD;-166,40
1000;10000083;PLASTINAC, S.A.;DF FT00040471;DF FT00040471;AB;Documento contable;0100239227;08.04.2024;NT00;Contado;  686;08.04.2024;VED;-6,5000;0,0000;0,0000;0,0000;0,0000;-6,5000;0,0000;-235,64;A16;K-Material de Empaque;Z053;Materia Prima;;DF FT00040471;-6,46;USD;-6,50
1000;10000083;PLASTINAC, S.A.;FT 40883 OC 49-684;SALDO FT 40883;SA;Documento cta.mayor;0100253368;12.08.2024;NT00;Contado;  560;12.08.2024;VED;-294,9000;0,0000;0,0000;0,0000;0,0000;-294,9000;0,0000;-10812,91;A16;K-Material de Empaque;Z053;Materia Prima;;FT 40883 OC 49-6842;-291,97;USD;-294,90
1000;10000083;PLASTINAC, S.A.;;;SA;Documento cta.mayor;0100254677;06.08.2024;NT00;Contado;  566;06.08.2024;VED;-140,0500;0,0000;0,0000;0,0000;0,0000;-140,0500;0,0000;-5133,22;A16;K-Material de Empaque;Z053;Materia Prima;;;-141,58;USD;-140,05
1000;10000083;PLASTINAC, S.A.;;;AB;Documento contable;0100255392;20.09.2024;NT00;Contado;  521;20.09.2024;VED;-161,0500;0,0000;0,0000;0,0000;0,0000;-161,0500;0,0000;-5926,85;A16;K-Material de Empaque;Z053;Materia Prima;;;-161,05;USD;-161,05
1000;10000083;PLASTINAC, S.A.;DF FT40942;SALDO FT00040942;SA;Documento cta.mayor;0100257849;13.09.2024;NT00;Contado;  528;13.09.2024;VED;-3,121,4600;0,0000;0,0000;0,0000;0,0000;-3121,4600;0,0000;-114685,54;A16;K-Material de Empaque;Z053;Materia Prima;;SALDO FT00040942;-3163,54;USD;-3121,46
1000;10000083;PLASTINAC, S.A.;4900006930;;ZT;Cart.Transf.Proveed.;0700022123;20.11.2024;;;0;20.11.2024;VED;6,528,0000;6528,0000;0,0000;0,0000;0,0000;0,0000;0,0000;299250,05;A16;K-Material de Empaque;Z053;Materia Prima;;20241120-SF666;6528,00;USD;6528,00
1000;10000083;PLASTINAC, S.A.;00041011;00041011;RE;Factura bruto;5100023932;14.10.2024;NT00;Contado;  497;14.10.2024;VED;-1,718,2800;0,0000;0,0000;0,0000;0,0000;-1718,2800;0,0000;-66816,44;A16;K-Material de Empaque;Z053;Materia Prima;;00-043170;-1716,86;USD;-1718,28
1000;10000083;PLASTINAC, S.A.;00041012;00041012;RE;Factura bruto;5100023933;14.10.2024;NT00;Contado;  497;14.10.2024;VED;-541,0000;0,0000;0,0000;0,0000;0,0000;-541,0000;0,0000;-21037,12;A16;K-Material de Empaque;Z053;Materia Prima;;00-043171;-540,55;USD;-541,00
1000;10000083;PLASTINAC, S.A.;00041021;00041021;RE;Factura bruto;5100023963;17.10.2024;NT00;Contado;  494;17.10.2024;VED;-540,6400;0,0000;0,0000;0,0000;0,0000;-540,6400;0,0000;-21091,20;A16;K-Material de Empaque;Z053;Materia Prima;;00-043180;-538,30;USD;-540,64
1000;10000083;PLASTINAC, S.A.;00041059;00041059;RE;Factura bruto;5100024178;05.11.2024;NT00;Contado;  475;05.11.2024;VED;-2,110,6500;0,0000;0,0000;0,0000;0,0000;-2110,6500;0,0000;-90456,00;A16;K-Material de Empaque;Z053;Materia Prima;;00-043218;-2066,05;USD;-2110,65
1000;10000089;VENEZOLANA DE CONTROL;D-369173;D-369173;KR;Factura acreedor;1900016772;09.09.2022;NT00;Contado; 1264;09.09.2022;VED;-399,3600;0,0000;0,0000;0,0000;0,0000;-399,3600;0,0000;-3196,00;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-01424471;-131,18;USD;-399,36
1000;10000089;VENEZOLANA DE CONTROL;D-368725;D-368725;KR;Factura acreedor;1900016773;02.09.2022;NT00;Contado; 1270;02.09.2022;VED;-160,0400;0,0000;0,0000;0,0000;0,0000;-160,0400;0,0000;-1265,60;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-01416805;-51,95;USD;-160,04
1000;10000089;VENEZOLANA DE CONTROL;D-370366;D-370366;KR;Factura acreedor;1900016776;21.09.2022;NT00;Contado; 1251;21.09.2022;VED;-240,0100;0,0000;0,0000;0,0000;0,0000;-240,0100;0,0000;-1932,00;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-01427580;-79,30;USD;-240,01
1000;10000089;VENEZOLANA DE CONTROL;271863;271863;KR;Factura acreedor;1900016841;23.12.2022;NT00;Contado; 1158;23.12.2022;VED;-101,9900;0,0000;0,0000;0,0000;0,0000;-101,9900;0,0000;-1677,90;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-01465949;-69,22;USD;-101,99
1000;10000089;VENEZOLANA DE CONTROL;C-214447;C-214447;KR;Factura acreedor;1900018631;12.04.2024;NT00;Contado;  678;12.04.2024;VED;-40,1800;0,0000;0,0000;0,0000;0,0000;-40,1800;0,0000;-1457,73;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00090787;-40,17;USD;-40,18
1000;10000089;VENEZOLANA DE CONTROL;D-413964;D-413926;KR;Factura acreedor;1900018932;15.03.2024;NT00;Contado;  629;15.03.2024;VED;-320,0400;0,0000;0,0000;0,0000;0,0000;-320,0400;0,0000;-11609,60;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00018948;-317,77;USD;-320,04
1000;10000089;VENEZOLANA DE CONTROL;D-408879;D-408879;KR;Factura acreedor;1900019143;04.01.2024;NT00;Contado;  781;04.01.2024;VED;-80,0000;0,0000;0,0000;0,0000;0,0000;-80,0000;0,0000;-2876,00;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00013934;-79,06;USD;-80,00
1000;10000089;VENEZOLANA DE CONTROL;D 418393;D 418393;KR;Factura acreedor;1900019583;31.05.2024;NT00;Contado;  633;31.05.2024;VED;-78,3800;0,0000;0,0000;0,0000;0,0000;-78,3800;0,0000;-2863,95;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00100827;-77,88;USD;-78,38
1000;10000089;VENEZOLANA DE CONTROL;D-419439;D-419439;KR;Factura acreedor;1900019693;20.06.2024;NT00;Contado;  613;20.06.2024;VED;-79,9900;0,0000;0,0000;0,0000;0,0000;-79,9900;0,0000;-2910,40;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00191883;-74,28;USD;-79,99
1000;10000089;VENEZOLANA DE CONTROL;D420504;D-420504;KR;Factura acreedor;1900019694;10.07.2024;NT00;Contado;  593;10.07.2024;VED;-80,0100;0,0000;0,0000;0,0000;0,0000;-80,0100;0,0000;-2920,80;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00102931;-74,55;USD;-80,01
1000;10000089;VENEZOLANA DE CONTROL;D421990;D-421990;KR;Factura acreedor;1900019717;15.08.2024;NT00;Contado;  559;15.08.2024;VED;-80,0400;0,0000;0,0000;0,0000;0,0000;-80,0400;0,0000;-2930,40;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00104436;-71,40;USD;-80,04
1000;10000089;VENEZOLANA DE CONTROL;D421915;D-421915;KR;Factura acreedor;1900019719;31.07.2024;NT00;Contado;  560;31.07.2024;VED;-80,1300;0,0000;0,0000;0,0000;0,0000;-80,1300;0,0000;-2933,60;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00104363;-71,48;USD;-80,13
1000;10000089;VENEZOLANA DE CONTROL;D423004;D-423004;KR;Factura acreedor;1900019731;04.09.2024;NT00;Contado;  559;04.09.2024;VED;-80,0000;0,0000;0,0000;0,0000;0,0000;-80,0000;0,0000;-2931,20;A19;K-Operaciones Nacionalización;Z003;Aduanal;;00-00105447;-69,42;USD;-80,00
1000;10000106;DHL EXPRESS ADUANAS VE;ANTICIPO;;ZT;Cart.Transf.Proveed.;0700018723;24.03.2023;;;0;24.03.2023;VED;243,4400;243,4400;0,0000;0,0000;0,0000;0,0000;0,0000;5917,96;A19;K-Operaciones Nacionalización;Z003;Aduanal;;20230324-SFT08;243,44;USD;243,44
1000;10000106;DHL EXPRESS ADUANAS VE;ANTICIPO;;ZT;Cart.Transf.Proveed.;0700018751;10.04.2023;;;0;10.04.2023;VED;285,7300;285,7300;0,0000;0,0000;0,0000;0,0000;0,0000;6996,91;A19;K-Operaciones Nacionalización;Z003;Aduanal;;20230410-SFT03;285,73;USD;285,73
1000;10000106;DHL EXPRESS ADUANAS VE;ANTICIPO;;ZT;Cart.Transf.Proveed.;0700019329;24.08.2023;;;0;24.08.2023;VED;334,3900;334,3900;0,0000;0,0000;0,0000;0,0000;0,0000;10760,31;A19;K-Operaciones Nacionalización;Z003;Aduanal;;20230824-SFT01;334,39;USD;334,39
1000;10000106;DHL EXPRESS ADUANAS VE;ANTICIPO;;ZT;Cart.Transf.Proveed.;0700020144;22.01.2024;;;0;22.01.2024;VED;194,8400;194,8400;0,0000;0,0000;0,0000;0,0000;0,0000;7042,50;A19;K-Operaciones Nacionalización;Z003;Aduanal;;20240122-SFT05;194,84;USD;194,84
1000;10000106;DHL EXPRESS ADUANAS VE;GUIA DHL 3395232;;ZT;Cart.Transf.Proveed.;0700021970;30.10.2024;;;0;30.10.2024;VED;413,3100;413,3100;0,0000;0,0000;0,0000;0,0000;0,0000;17452,26;A19;K-Operaciones Nacionalización;Z003;Aduanal;;20241030-SF609;413,31;USD;413,31
